pvalue;logFC;gene
3.60433360085984e-14;8.52760445518923;AQP7B
3.38111842337208e-06;8.52352343947065;RPL9P8
3.90227779374778e-06;8.5188034821219;LINC02082
4.64555546304348e-06;8.46696168409297;ITPRID1
4.40303537030748e-06;8.4621106757148;TNN
0;8.46156381584929;LEP
4.33225624759864e-06;8.45728268669351;LRRC77P
8.40418849761681e-81;8.30681625366914;ACVR1C
0;8.27522873419456;MTND2P28
1.26813731158019e-05;8.26605635150241;FIGNL2-DT
9.80453947003182e-13;8.20383079028685;SLC66A1LP
0;8.1899669993562;FABP4
2.06718068088761e-05;8.18649811676978;FUT9
2.06718068088761e-05;8.18649811676978;FOXI1
1.98135418276119e-05;8.18062121379335;CA6
1.98628760674494e-05;8.17476122810499;CPA1
1.98628760674494e-05;8.17476122810499;MMEL1
2.07913826623814e-05;8.16888343385849;LINC01070
2.07913826623814e-05;8.16888343385849;LOC101929432
2.07913826623814e-05;8.16888343385849;LIPH
2.07913826623814e-05;8.16888343385849;AGXT
2.27527086071393e-05;8.16295256106841;SLC13A2
2.27527086071393e-05;8.16295256106841;LINC02237
2.61465998821969e-05;8.15693075509619;SNORA54
1.55331588129051e-12;8.14973908351766;SNORA73B
3.42813968594913e-05;8.0710011954695;IRX1
3.42813968594913e-05;8.0710011954695;C1orf116
3.7822916628045e-05;8.05832560386746;KLK11
3.7822916628045e-05;8.05832560386746;MTCO2P22
4.27642591211904e-05;8.0518824738748;GPRIN2
5.82092115900274e-83;8.03746216706804;SLC19A3
1.16595117716349e-06;8.01951291891963;IRX2
7.53417274950538e-12;7.99386535064026;TMEM95
1.38635945555199e-51;7.98903287713169;SCN4A
0.00209206349680299;7.98286306457635;RN7SL4P
6.14614638464741e-05;7.95920536573186;FAM222A-AS1
9.92945872947651e-32;7.95880196544898;LOC102723791
6.49694163463628e-05;7.9455039946928;LOC105372435
6.49694163463628e-05;7.9455039946928;SMIM24
6.49694163463628e-05;7.9455039946928;PNLIPRP3
7.20838307969668e-05;7.9385656999791;ASMER2
8.4858945629689e-05;7.9314974066263;KCNJ2-AS1
0.00136704438662715;7.92194321150469;SLC6A2
0.0125277727152223;7.91253201595901;LINC00243
0.0125277727152223;7.91253201595901;LRP1B
2.37733012950584e-11;7.8736572855337;CLC
4.9244368398404e-21;7.86359587394262;AQP5
0.000125251270282369;7.84555614402646;PRSS22
0.000125251270282369;7.84555614402646;LOC102724443
0.000115054675217518;7.83803186474353;CLDN9
0.000115054675217518;7.83803186474353;C10orf90
0.000115054675217518;7.83803186474353;MS4A3
0.000112318234915554;7.83056606760982;CD164L2
0.000115724299282351;7.82309757407976;GJB6
0.000115724299282351;7.82309757407976;ATP6V0A4
0.000125862678676677;7.81556828262332;LBP
0.000125862678676677;7.81556828262332;LBHD2
0.000125862678676677;7.81556828262332;GRIN1
0.000125862678676677;7.81556828262332;LOC124901616
0.000125862678676677;7.81556828262332;RORC
0.000125862678676677;7.81556828262332;SNORA14B
2.48206627958497e-102;7.81089675184919;PCK1
8.2273359149683e-11;7.79573814993465;LOC105376020
0.00127142265631067;7.7157384758223;SLED1
0.000227012817879135;7.70577811949715;SCO2
0.000227012817879135;7.70577811949715;CALML5
0.000227012817879135;7.70577811949715;TYRP1
0.000227012817879135;7.70577811949715;IDH1-AS1
3.93492387663224e-33;7.7018829716657;PLEKHG6
0.000228137742498976;7.68108536207436;GLRA1
0.000228137742498976;7.68108536207436;RTP5
4.3470705971176e-28;7.6745435135128;NFE2
6.61314197885232e-27;7.56143066352615;TBX15
5.45691093705336e-27;7.55647900077679;LINC02587
0.00042925531682718;7.55101510306053;LOC100128770
0.00042925531682718;7.55101510306053;SLC6A5
0.00042925531682718;7.55101510306053;RPL17P16
0.000431190630627925;7.53275419324144;CHKB-CPT1B
0.000475752672748323;7.5235266823741;RPS3AP49
0.000475752672748323;7.5235266823741;TRIM10
0.000475752672748323;7.5235266823741;HLA-DQB2
0.000475752672748323;7.5235266823741;CHIT1
0.000567464359364802;7.5140983327146;MCEMP1
0.000567464359364802;7.5140983327146;FABP9
0.000567464359364802;7.5140983327146;SNORA11
0.000567464359364802;7.5140983327146;MUC7
1.07596856842171e-57;7.4767134987602;SLC4A1
0.000850948028584245;7.37765862104386;URAD
0.000850948028584245;7.37765862104386;HOXC5
0.000850948028584245;7.37765862104386;RPS3AP36
0.000850948028584245;7.37765862104386;RASSF10
0.000850948028584245;7.37765862104386;GAL
0.000850948028584245;7.37765862104386;OTX1
0.00085377091820901;7.36739984976201;LINC01531
0.00085377091820901;7.36739984976201;CLEC17A
0.00085377091820901;7.36739984976201;PIP
0.00085377091820901;7.36739984976201;HLA-DQA1
0.00085377091820901;7.36739984976201;SYCP1
3.87458859441771e-47;7.36317940511776;CIDEA
0.000916953115682584;7.35707637340025;IRX4
0.000916953115682584;7.35707637340025;SNORA74B
0.000916953115682584;7.35707637340025;LOC102724120
0.000916953115682584;7.35707637340025;LINC00885
0.00106308573382005;7.34656480311547;SERPINB7
0.00106308573382005;7.34656480311547;IRX5
0.00106308573382005;7.34656480311547;LINC02541
3.29272594456211e-35;7.34414720488032;GIPR
0.0104798945979295;7.33307754895813;SOX9-AS1
6.28856375225561e-09;7.27330772245937;LINC02608
2.2392752739661e-12;7.21771274288521;SPX
9.5340234021697e-09;7.2132473944866;GRIA2
0.00185311645705483;7.19235808423795;TMPRSS2
0.00185311645705483;7.19235808423795;SLC5A1
0.00185311645705483;7.19235808423795;CFAP58-DT
0.00185311645705483;7.19235808423795;LOC105379814
0.00185311645705483;7.19235808423795;LOC105379321
0.00185311645705483;7.19235808423795;LINC00589
0.00178058798898369;7.18061531818011;RPL7AP10
0.00178058798898369;7.18061531818011;2,00В ERN
0.00178058798898369;7.18061531818011;TBX5-AS1
0.00178058798898369;7.18061531818011;CLVS1
0.00185404407078911;7.16886780554001;LOC101927389
0.00185404407078911;7.16886780554001;XKR9
0.00185404407078911;7.16886780554001;CPA2
0.00185404407078911;7.16886780554001;RPS15P5
0.00185404407078911;7.16886780554001;NT5DC4
0.00185404407078911;7.16886780554001;TTLL10-AS1
0.00185404407078911;7.16886780554001;RNA5SP74
0.00185404407078911;7.16886780554001;SCARNA1
0.00208928316142733;7.15695232370584;SLFN14
0.00208928316142733;7.15695232370584;LINC02240
0.00208928316142733;7.15695232370584;RPS15AP17
0.00208928316142733;7.15695232370584;EEF1A1P14
0.00931311774134675;7.14285809258152;PLSCR3
0.00931311774134675;7.14285809258152;SNORA38B
0.00931311774134675;7.14285809258152;CLDN10-AS1
0;7.08180140290547;BTNL9
3.2938781924665e-27;6.99944121575423;KLHL31
0.0101292413654868;6.98115283438557;LOC101927344
0.0101292413654868;6.98115283438557;LINC02405
0.0101292413654868;6.98115283438557;MOGAT2
0.0101292413654868;6.98115283438557;LOC105373242
0.0039480080680278;6.96603317253194;NXNL1
0.0039480080680278;6.96603317253194;CKMT1B
0.0039480080680278;6.96603317253194;ABCB11
0.0039480080680278;6.96603317253194;FCN3
7.21279365931106e-08;6.96542868363218;HOXC-AS1
0.00395223005310604;6.95235658215575;PGLYRP1
0.00395223005310604;6.95235658215575;LINC01497
0.00395223005310604;6.95235658215575;FLRT2-AS1
0.00395223005310604;6.95235658215575;LOC124902403
0.00395223005310604;6.95235658215575;LOC107986668
0.00395223005310604;6.95235658215575;INKILN
0.00430543906064214;6.93856001476729;LINC01551
0.00430543906064214;6.93856001476729;CASP5
0.00430543906064214;6.93856001476729;TP53AIP1
0.00430543906064214;6.93856001476729;FCN2
0.00430543906064214;6.93856001476729;CNKSR2
0.00430543906064214;6.93856001476729;H2BC9
0.00430543906064214;6.93856001476729;SNORA20
0.00430543906064214;6.93856001476729;CAMP
2.73323704214375e-32;6.93500391666376;KRT1
0.00523578347113003;6.92437669586621;ICAM5
0.00523578347113003;6.92437669586621;FA2H
0.00523578347113003;6.92437669586621;SNORA63D
0.00523578347113003;6.92437669586621;NCKAP5-AS2
0.000174889603663344;6.91935068915419;HDHD5-AS1
8.6959341437751e-14;6.89878594729959;KIF25
9.65079489202397e-20;6.89696635529691;MESP1
3.7758681963737e-65;6.85739688564422;C14orf180
3.19547241991788e-58;6.82310811283737;PHOSPHO1
0.0095218074497824;6.71399122969914;PSG8-AS1
0.0095218074497824;6.71399122969914;MDP1
0.0095218074497824;6.71399122969914;TEX54
0.0095218074497824;6.71399122969914;OBP2B
0.0095218074497824;6.71399122969914;LNCBRM
0.00893929474263217;6.69752201062195;EPIC1
0.00893929474263217;6.69752201062195;SEPT5-GP1BB
0.00893929474263217;6.69752201062195;SBK3
